,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
282,2550000,2018,Petrol,49000,others,15,800,Auto 2WD,Maruti Suzuki,7
283,1035000,2006,Petrol,68500,silver,15,1086,Manual 2WD,Hyundai,19
284,2300000,2018,Petrol,47000,white,16,1200,Auto 2WD,Ford,7
285,1485000,2010,Petrol,46374,silver,14,1200,Manual 2WD,Hyundai,15
286,2000000,2006,Diesel,54000,coffee,13,2000,Auto 4WD,Kia,19
287,2050000,2009,Diesel,85000,brown,16,1991,Auto 4WD,Hyundai,16
288,2700000,2010,Petrol,50000,silver,10,2000,Manual 2WD,Hyundai,15
289,5500000,2019,Electric,46000,silver,14,1200,Auto 2WD,Kia,6
290,2300000,2016,Diesel,60965,silver,18,2500,Manual 4WD,Other Brands,9
291,4499999,2017,Diesel,56000,silver,14,2499,Manual 4WD,Other Brands,8
292,1770000,2015,Petrol,75000,black,14,1500,Manual 2WD,Ford,10
293,24000000,2017,Diesel,78564,silver,14,3000,Auto 4WD,Toyota,8
294,400000,2003,Petrol,70000,white,14,796,Auto 2WD,Maruti Suzuki,22
295,2050000,2009,Petrol,77000,red,18,1200,Manual 2WD,Toyota,16
296,985000,2012,Petrol,52000,red,12,1200,Manual 2WD,Ford,13
297,1800000,2016,Petrol,50000,white,14,1200,Manual 2WD,Ford,9
298,2490000,2016,Petrol,47000,others,18,1300,Manual 2WD,Maruti Suzuki,9
299,699000,2004,Petrol,69000,white,69000,800,Manual 2WD,Maruti Suzuki,21
300,1375000,2009,Petrol,49000,silver,13,1298,Manual 2WD,Maruti Suzuki,16
301,775000,2003,Petrol,80000,blue,14,1100,Manual 2WD,Hyundai,22
302,2150000,2015,Petrol,42000,white,14,1500,Auto 2WD,Ford,10
303,1400000,2012,Petrol,49000,others,14,1200,Auto 2WD,Hyundai,13
304,2400000,2016,Petrol,30000,others,14,1200,Manual 2WD,Hyundai,9
305,1500000,2020,Diesel,49000,white,50,1200,Auto 4WD,Mahindra,5
306,1050000,2021,Diesel,30000,blue,18,800,Auto 2WD,Tata,4
307,1750000,2014,Petrol,49000,grey,14,1200,Manual 2WD,Hyundai,11
308,1450000,2010,Petrol,53000,silver,12,1200,Manual 2WD,Hyundai,15
309,4500000,2020,Diesel,55000,white,11,2500,Manual 4WD,Other Brands,5
310,575000,2012,Petrol,25000,others,14,1000,Manual 2WD,Chevrolet,13
311,900000,2017,Diesel,1700000,white,10,2900,Manual 2WD,Tata,8
312,600000,2004,Petrol,45000,grey,14,1300,Auto 2WD,Kia,21
313,11000000,2017,Diesel,35000,black,14,2157,Auto 4WD,Ssangyong,8
314,1450000,2017,Petrol,40000,silver,12,1200,Manual 2WD,Nissan,8
315,3450000,2021,Petrol,30000,silver,17,1497,Manual 2WD,Ford,4
316,1600000,2017,Diesel,70000,red,14,1656,Manual 4WD,Ford,8
317,2150000,2018,Petrol,38000,white,20,998,Auto 4WD,Maruti Suzuki,7
318,7000000,2008,Diesel,110000,silver,6,3000,Manual 4WD,Toyota,17
319,2450000,2010,Petrol,56000,grey,10,1998,Auto 4WD,Kia,15
320,1600000,2016,Diesel,49000,white,14,2523,Manual 4WD,Tata,9
321,1775000,2014,Petrol,57000,brown,14,1200,Manual 2WD,Honda,11
322,425000,1998,Diesel,49000,silver,14,2000,Manual 2WD,Nissan,27
323,1250000,2014,Petrol,23000,silver,17,800,Manual 2WD,Maruti Suzuki,11
324,2000000,2016,Petrol,49000,silver,14,1200,Manual 2WD,Maruti Suzuki,9
325,3400000,1998,Diesel,146000,blue,10,2800,Manual 4WD,Toyota,27
326,2950000,2015,Petrol,49000,silver,14,1600,Manual 2WD,Hyundai,10
327,850000,2006,Diesel,1500,silver,12,2950,Auto 2WD,Tata,19
328,1500000,2018,Diesel,35000,white,14,2999,Manual 2WD,Other Brands,7
329,1300000,2014,Diesel,50000,white,14,1248,Manual 2WD,Tata,11
330,3474000,2022,Petrol,315,blue,17,1197,Manual 2WD,Maruti Suzuki,3
331,1125000,2008,Petrol,76009,grey,14,1086,Auto 2WD,Hyundai,17
332,1500000,2017,Petrol,14000,white,14,1200,Power Steering,Datsun,8
333,4500000,2003,Petrol,62000,blue,14,2000,Auto 2WD,Other Brands,22
334,1250000,2007,Petrol,90000,gold,14,1500,Manual 2WD,Nissan,18
335,8300000,2016,Diesel,73000,white,14,3200,Auto 4WD,Ford,9
336,2900000,2021,Petrol,13000,silver,16,1200,Manual 2WD,Tata,4
337,3100000,2020,Petrol,6700,silver,20,1200,Manual 2WD,Hyundai,5
338,1950000,2008,Petrol,71000,grey,11,1600,Manual 2WD,Toyota,17
339,2100000,2009,Diesel,90000,silver,12,2000,Manual 4WD,Hyundai,16
340,1400000,2011,Diesel,114000,silver,14,2600,Manual 2WD,Kia,14
341,860000,2009,Petrol,67,red,17,800,Manual 2WD,Maruti Suzuki,16
342,1850000,2015,Petrol,19800,grey,14,1100,Power Steering,Hyundai,10
343,1165000,2010,Petrol,50000,red,50000,1075,Manual 2WD,Hyundai,15
344,950000,2007,Petrol,67000,white,18,1047,Manual 2WD,Hyundai,18
345,2200000,2014,Petrol,47000,silver,15,1600,Manual 2WD,Volkswagen,11
346,685000,2019,Petrol,49000,white,12,800,Auto 2WD,Maruti Suzuki,6
347,725000,2009,Petrol,63000,red,14,995,Manual 2WD,Chevrolet,16
348,6650000,2021,Petrol,17000,white,15,1499,Auto 2WD,Hyundai,4
349,2000000,2014,Petrol,21000,silver,14,1600,Power Steering,Volkswagen,11
350,2250000,2016,Petrol,59000,white,14,1200,Manual 2WD,Maruti Suzuki,9
351,1250000,2015,Petrol,40000,grey,18,800,Manual 2WD,Maruti Suzuki,10
352,635000,2018,Petrol,49000,others,14,1200,Manual 2WD,Maruti Suzuki,7
353,1000000,2008,Petrol,20000,red,14,1300,Manual 2WD,Other Brands,17
354,1050000,2008,Petrol,68000,black,11,1600,Manual 4WD,Chevrolet,17
355,1675000,2013,Petrol,49000,silver,14,1600,Manual 2WD,Volkswagen,12
356,5500000,2021,Electric,20000,white,400,1200,Auto 2WD,Other Brands,4
357,1975000,2013,Petrol,31000,others,15,1500,Manual 2WD,Ford,12
358,2250000,2007,Diesel,49000,white,14,2495,Manual 4WD,Mitsubishi,18
359,2300000,2009,Diesel,67000,blue,14,1997,Manual 4WD,Hyundai,16
360,3900000,2017,Diesel,70,white,14,2179,Manual 4WD,Mahindra,8
361,3000000,2011,Petrol,65000,blue,14,1600,Manual 2WD,Hyundai,14
362,875000,2007,Petrol,68000,silver,11,1400,Manual 2WD,Kia,18
363,1300000,2010,Petrol,68000,silver,13,1200,Manual 2WD,Maruti Suzuki,15
364,1650000,2016,Petrol,37000,grey,14,1000,Manual 2WD,Maruti Suzuki,9
365,2850000,2021,Petrol,22000,others,14,1200,Manual 2WD,Maruti Suzuki,4
366,5299000,2023,Hybrid,49000,others,19,1462,Manual 2WD,Maruti Suzuki,2
367,2450000,2014,Petrol,44000,silver,14,1200,Auto 2WD,Ford,11
368,2150000,2008,Diesel,65000,brown,12,2000,Auto 4WD,Hyundai,17
369,2625000,2018,Petrol,33598,silver,14,1200,Manual 2WD,Maruti Suzuki,7
370,2350000,2016,Petrol,47000,brown,10,1699,Manual 2WD,Volkswagen,9
371,1400000,2012,Petrol,49000,red,14,1200,Manual 2WD,Volkswagen,13
372,1100000,2010,Petrol,49565,red,15,1061,Manual 2WD,Maruti Suzuki,15
373,1250000,2019,Petrol,49000,others,14,1196,Manual 2WD,Maruti Suzuki,6
374,3200000,2016,Petrol,21500,others,14,1499,Power Steering,Hyundai,9
375,3100000,2016,Diesel,49000,others,14,2200,Manual 2WD,Mahindra,9
376,2090000,2014,Petrol,42000,grey,14,1197,Manual 2WD,Hyundai,11
377,1600000,2013,Petrol,62000,red,13,1200,Manual 2WD,Hyundai,12
378,2499000,2016,Petrol,49000,white,14,1200,Manual 2WD,Hyundai,9
379,3230000,2021,Petrol,8500,others,14,1200,Manual 2WD,Kia,4
380,1175000,2010,Petrol,50000,blue,14,1086,Manual 2WD,Kia,15
381,2050000,2015,Petrol,39000,silver,14,1197,Manual 2WD,Hyundai,10
382,4100000,2021,Petrol,32000,grey,14,1600,Manual 2WD,Nissan,4
383,795000,2005,Petrol,65000,black,14,1000,Manual 2WD,Kia,20
384,3500000,2019,Petrol,17000,others,14,1200,Manual 2WD,Maruti Suzuki,6
385,2950000,2021,Petrol,6000,others,13,1200,Manual 2WD,Hyundai,4
386,2050000,2008,Diesel,65000,silver,14,2500,Manual 4WD,Kia,17
387,690000,2012,Petrol,65000,silver,14,800,Auto 2WD,Maruti Suzuki,13
388,1300000,2013,Diesel,81000,white,18,1600,Manual 2WD,Mahindra,12
389,1150000,2016,Petrol,17000,grey,22,800,Manual 2WD,Datsun,9
390,5299000,2023,Hybrid,314,others,19,1462,Manual 2WD,Maruti Suzuki,2
391,2700000,2021,Petrol,16000,white,17,1000,Auto 2WD,Nissan,4
392,2600000,2016,Petrol,23000,silver,14,1600,Manual 2WD,Volkswagen,9
393,5500000,2017,Diesel,61000,silver,11,3200,Manual 4WD,Ford,8
394,3775000,2018,Petrol,35000,white,14,1500,Manual 2WD,Hyundai,7
395,1450000,2016,Petrol,45000,red,19,998,Auto 2WD,Maruti Suzuki,9
396,2500000,2015,Petrol,49000,others,14,1200,Manual 2WD,Tata,10
397,1100000,2013,Diesel,69500,silver,18,1248,Manual 2WD,Fiat,12
398,1580000,2011,Petrol,52000,grey,16,1197,Manual 2WD,Hyundai,14
399,850000,2016,Petrol,34000,silver,16,800,Auto 2WD,Maruti Suzuki,9
400,750000,2018,Diesel,75000,red,13,1000,Auto 2WD,Mahindra,7
401,1445000,2011,Petrol,51700,grey,18,1200,Manual 2WD,Hyundai,14
402,2500000,2011,Petrol,70000,grey,70,1200,Power Steering,Toyota,14
403,1850000,2014,Petrol,49000,white,15,1197,Manual 2WD,Maruti Suzuki,11
404,6500000,2021,Petrol,6000,silver,15,1500,Auto 2WD,Hyundai,4
405,1525000,2011,Diesel,70000,black,10,1896,Manual 2WD,Skoda,14
406,1500000,2011,Petrol,49000,grey,14,1086,Auto 2WD,Hyundai,14
407,5400000,2021,Electric,49000,white,14,1200,Auto 2WD,Other Brands,4
408,1700000,2012,Petrol,48000,others,14,1197,Auto 2WD,Hyundai,13
409,2475000,2018,Petrol,36500,grey,16,1200,Manual 2WD,Hyundai,7
410,2200000,2015,Petrol,49000,silver,14,1200,Manual 2WD,Ford,10
411,2000000,2009,Diesel,49000,green,14,1200,Manual 4WD,Hyundai,16
412,920000,2018,Petrol,35000,silver,13,796,Auto 2WD,Maruti Suzuki,7
413,1700000,2014,Petrol,52000,grey,14,1500,Power Steering,Toyota,11
414,1025000,2010,Petrol,51000,gold,14,996,Manual 2WD,Maruti Suzuki,15
415,4200000,2021,Petrol,16000,silver,14,1500,Power Steering,Maruti Suzuki,4
416,1599000,2007,Petrol,49000,red,15,1496,Manual 2WD,Toyota,18
417,1700000,2013,Petrol,49000,others,14,1200,Manual 2WD,Maruti Suzuki,12
418,1750000,2016,Petrol,44532,red,16,1000,Manual 2WD,Mahindra,9
419,1100000,2014,Petrol,65000,grey,16,1200,Auto 2WD,Datsun,11
420,2050000,2017,Petrol,45000,white,14,1200,Manual 2WD,Maruti Suzuki,8
421,950000,2006,Diesel,72000,blue,12,1086,Power Steering,Kia,19
422,520000,2001,Petrol,75,others,16,1061,Manual 2WD,Maruti Suzuki,24
423,1775000,2013,Petrol,53500,silver,14,1600,Manual 2WD,Volkswagen,12
424,3400000,2017,Diesel,49000,silver,14,2200,Manual 2WD,Mahindra,8
425,3125000,2021,Petrol,42000,others,14,1200,Manual 2WD,Kia,4
426,1200000,2016,Diesel,100000,white,14,1200,Auto 2WD,Mahindra,9
427,1575000,2015,Petrol,485780,grey,13,1196,Manual 2WD,Ford,10
428,5150000,2019,Petrol,49000,silver,14,1200,Manual 2WD,Hyundai,6
429,2450000,2020,Petrol,49000,silver,14,1200,Manual 2WD,Ford,5
430,1150000,2010,Petrol,49000,black,14,1200,Manual 2WD,Hyundai,15
431,335000,2000,Petrol,49000,others,14,1200,Manual 2WD,Maruti Suzuki,25
432,5240000,2021,Petrol,49000,others,14,1200,Auto 2WD,Volkswagen,4
433,1999000,2017,Petrol,49000,silver,20,1199,Manual 2WD,Tata,8
434,5200000,2017,Diesel,60000,others,14,2499,Manual 4WD,Other Brands,8
435,2725000,2017,Petrol,30000,white,14,1200,Manual 2WD,Hyundai,8
436,2050000,2014,Petrol,54383,silver,14,1196,Manual 2WD,Hyundai,11
437,1455000,2015,Petrol,52000,brown,14,1000,Manual 2WD,Maruti Suzuki,10
438,1170000,2009,Petrol,85000,blue,15,1200,Auto 2WD,Maruti Suzuki,16
439,2799000,2018,Diesel,90000,white,14,3700,Manual 2WD,Tata,7
440,1800000,2018,Diesel,90000,white,14,1200,Auto 4WD,Mahindra,7
441,550000,2004,Petrol,320000,white,11,1200,Auto 2WD,Kia,21
442,2100000,2015,Diesel,64000,white,15,2200,Manual 4WD,Mahindra,10
443,3850000,2017,Diesel,5600,blue,15,2200,Manual 4WD,Mahindra,8
444,3285000,2017,Petrol,49000,silver,10,1600,Manual 2WD,Hyundai,8
445,1675900,2012,Petrol,55000,grey,18,1197,Manual 2WD,Maruti Suzuki,13
446,1500000,2011,Petrol,55000,silver,12,1600,Manual 2WD,Volkswagen,14
447,1290000,2007,Petrol,75000,brown,13,1350,Manual 4WD,Honda,18
448,575000,2003,Petrol,19000,others,14,1498,Manual 2WD,Other Brands,22
449,1050000,2009,Petrol,83000,silver,14,1100,Manual 2WD,Kia,16
450,4100000,2017,Petrol,41000,white,12,1500,Manual 2WD,Hyundai,8
451,1250000,2015,Petrol,50000,grey,15,1200,Auto 2WD,Ford,10
452,2500000,2018,Petrol,50000,others,14,1500,Manual 2WD,Renault,7
453,950000,2021,Diesel,123,blue,20,600,Auto 2WD,Tata,4
454,900000,2008,Petrol,53000,silver,14,1100,Manual 2WD,Kia,17
455,1250000,2013,Petrol,43000,silver,14,1200,Manual 2WD,Ford,12
456,2575000,2019,Petrol,20000,grey,14,1197,Manual 2WD,Hyundai,6
457,3850000,2016,Diesel,53000,orange,14,2200,Manual 4WD,Mahindra,9
458,1500000,2020,Petrol,49000,others,14,1200,Auto 2WD,Maruti Suzuki,5
459,2550000,2019,Petrol,17000,silver,16,1196,Manual 2WD,Hyundai,6
460,4500000,2017,Diesel,49000,others,14,1200,Manual 4WD,Other Brands,8
461,700000,2010,Petrol,84000,black,15,1300,Manual 2WD,Tata,15
462,1050000,2013,Diesel,60000,yellow,10,3200,Auto 2WD,Other Brands,12
463,650000,2015,Diesel,150,white,12,1400,Power Steering,Tata,10
464,1275000,2005,Petrol,36000,grey,14,1600,Manual 2WD,Mazda,20
465,500000,1975,Petrol,50000,others,14,1200,Manual 4WD,Toyota,50
466,1950000,2006,Petrol,75000,silver,14,2000,Manual 4WD,Maruti Suzuki,19
467,700000,2018,Petrol,63000,white,15,796,Auto 4WD,Maruti Suzuki,7
468,899999,2005,Petrol,70000,silver,14,1200,Manual 2WD,Maruti Suzuki,20
469,4850000,2019,Petrol,41000,white,14,1598,Manual 2WD,Hyundai,6
470,2250000,2017,Petrol,35680,others,15,1200,Manual 2WD,Maruti Suzuki,8
471,950000,2004,Petrol,61000,blue,10,1600,Manual 2WD,Mazda,21
472,200000,1999,Petrol,20000,white,16,800,Manual 2WD,Maruti Suzuki,26
473,3975000,2021,Petrol,18500,white,15,1500,Manual 2WD,Maruti Suzuki,4
474,2475000,2016,Petrol,37000,others,12,1200,Manual 2WD,Honda,9
475,1250000,2009,Petrol,78000,silver,13,1096,Manual 2WD,Hyundai,16
476,1200000,2016,Diesel,127130,white,14,2523,Manual 2WD,Mahindra,9
477,500000,2007,Diesel,53000,white,18,1400,Auto 2WD,Tata,18
478,3500000,2010,Diesel,100000,silver,15,2500,Manual 4WD,Toyota,15
479,1490000,2011,Petrol,38000,white,14,1600,Auto 4WD,Volkswagen,14
480,1600000,2012,Petrol,33000,grey,14,1100,Manual 2WD,Hyundai,13
481,2650000,2016,Petrol,40000,white,14,1200,Manual 2WD,Hyundai,9
482,2950000,2015,Petrol,53000,silver,12,1200,Auto 2WD,Hyundai,10
483,5700000,2016,Diesel,49000,grey,14,1200,Manual 4WD,Kia,9
484,1750000,2021,Petrol,5000,white,14,1000,Manual 2WD,Datsun,4
485,1200000,2005,Petrol,42000,red,12,1000,Auto 2WD,Hyundai,20
486,280000,2019,Petrol,125000,white,17,800,Manual 2WD,Maruti Suzuki,6
487,2575000,2017,Diesel,88000,silver,12,2200,Manual 4WD,Mahindra,8
488,1750000,2014,Petrol,49000,others,14,1200,Manual 2WD,Toyota,11
489,880000,2008,Petrol,70000,red,14,1086,Power Steering,Kia,17
490,1875000,2008,Diesel,66000,others,17,2000,Manual 4WD,Hyundai,17
491,1850000,2007,Diesel,560000,others,15,2000,Manual 4WD,Hyundai,18
492,1875000,2015,Petrol,48000,grey,16,1200,Manual 2WD,Maruti Suzuki,10
493,2099000,2014,Petrol,55000,brown,12,1500,Manual 2WD,Honda,11
494,900000,2012,Petrol,40000,silver,14,814,Manual 2WD,Hyundai,13
495,2700000,2017,Petrol,49000,white,14,1200,Auto 2WD,Hyundai,8
496,3800000,2019,Diesel,50000,white,40,5883,Manual 4WD,Tata,6
497,450000,2002,Petrol,27000,blue,17,993,Manual 2WD,Maruti Suzuki,23
498,3200000,2018,Diesel,43000,white,14,1400,Manual 2WD,Maruti Suzuki,7
499,2300000,2016,Petrol,30000,others,15,1248,Manual 2WD,Maruti Suzuki,9
500,3600000,2021,Petrol,16000,white,20,1200,Manual 2WD,Hyundai,4
501,211000,2015,Petrol,49000,others,14,1200,Auto 4WD,Maruti Suzuki,10
502,3400000,2017,Diesel,45000,grey,12,1500,Auto 4WD,Renault,8
503,415000,2012,Petrol,32564,blue,17,624,Auto 4WD,Tata,13
504,11000000,2016,Diesel,62000,white,12,3200,Auto 4WD,Ford,9
505,2650000,2020,Petrol,11000,silver,19,1200,Manual 2WD,Maruti Suzuki,5
506,1700000,2014,Petrol,39000,red,14,1200,Manual 2WD,Hyundai,11
507,1325000,2016,Petrol,39000,brown,12,1200,Manual 2WD,Datsun,9
508,3200000,2018,Diesel,66000,red,14,1200,Power Steering,Maruti Suzuki,7
509,3450000,2016,Petrol,41000,white,12,1600,Manual 2WD,Hyundai,9
510,3200000,2019,Petrol,39000,white,15,1400,Manual 2WD,Hyundai,6
511,3600000,2021,Petrol,36000,green,14,1200,Auto 2WD,Tata,4
512,2400000,2017,Petrol,49000,others,14,1200,Manual 2WD,Maruti Suzuki,8
513,2050000,2007,Diesel,79000,white,8,2500,Manual 4WD,Mitsubishi,18
514,2100000,2009,Diesel,65000,silver,12,1191,Manual 4WD,Hyundai,16
515,2515000,2009,Diesel,71000,grey,10,2000,Manual 4WD,Kia,16
516,2250000,2016,Petrol,35000,brown,14,1198,Auto 2WD,Mahindra,9
517,1000000,2011,Petrol,80000,red,14,1200,Manual 2WD,Ford,14
518,3650000,2011,Diesel,87000,orange,12,1995,Manual 4WD,Hyundai,14
519,23500000,2017,Diesel,85000,silver,14,4461,Auto 4WD,Toyota,8
520,8800000,2020,Diesel,17000,grey,14,3200,Auto 4WD,Ford,5
521,8700000,2017,Petrol,50000,grey,14,1984,Auto 4WD,Volkswagen,8
522,3490000,2010,Petrol,84000,red,14,2400,Auto 4WD,Toyota,15
523,6500000,2013,Petrol,49000,grey,14,2500,Manual 4WD,Toyota,12
524,750000,2015,Diesel,9,others,14,2600,Manual 2WD,Mahindra,10
525,2150000,2015,Petrol,40014,silver,14,1197,Manual 4WD,Maruti Suzuki,10
526,1599999,2011,Petrol,52000,others,13,1200,Manual 2WD,Hyundai,14
527,2500000,2021,Petrol,18000,blue,15,1000,Power Steering,Renault,4
528,1500000,2010,Petrol,58000,silver,14,1200,Manual 2WD,Hyundai,15
529,2975000,2018,Diesel,30000,silver,13,2500,Manual 2WD,Other Brands,7
530,1225000,2013,Petrol,4000,silver,13,1200,Manual 2WD,Ford,12
531,3300000,2015,Petrol,12000,silver,14,2494,Auto 4WD,Toyota,10
532,3600000,2010,Diesel,49000,white,14,2755,Manual 4WD,Toyota,15
533,1700000,2012,Petrol,63000,silver,13,1200,Manual 2WD,Maruti Suzuki,13
534,1500000,2022,Electric,3000,red,120,15,Power Steering,Other Brands,3
535,500000,2016,Diesel,60000,blue,5,10000,Manual 4WD,Tata,9
536,1875000,2007,Diesel,68000,red,13,2000,Manual 4WD,Kia,18
537,8000000,2012,Diesel,49000,red,14,2199,Auto 4WD,Hyundai,13
538,550000,2007,Petrol,77000,white,14,1200,Power Steering,Tata,18
539,2150000,2016,Petrol,57186,grey,14,1200,Power Steering,Maruti Suzuki,9
540,1500000,2016,Diesel,49000,black,14,2800,Manual 2WD,Tata,9
541,1750000,2006,Diesel,160000,blue,12,1992,Auto 4WD,Hyundai,19
542,1400000,2011,Petrol,97000,silver,14,1086,Manual 2WD,Hyundai,14
543,835000,2010,Petrol,70100,grey,11,1400,Manual 2WD,Chevrolet,15
544,2250000,2018,Petrol,27000,red,14,1200,Manual 2WD,Hyundai,7
545,1250000,2012,Petrol,68000,silver,14,1200,Manual 2WD,Skoda,13
546,2100000,2015,Petrol,49000,silver,14,1600,Manual 2WD,Volkswagen,10
547,1250000,2014,Diesel,49000,others,14,2956,Power Steering,Tata,11
548,2400000,2016,Diesel,49000,others,14,2200,Manual 4WD,Mahindra,9
549,2695000,2007,Diesel,80000,white,10,2500,Manual 4WD,Toyota,18
550,2695000,2007,Diesel,80000,white,10,2500,Manual 4WD,Toyota,18
551,930000,2007,Petrol,78000,silver,15,1300,Manual 2WD,Daihatsu,18
552,3700000,2021,Petrol,5000,silver,20,1200,Auto 4WD,Tata,4
553,4500000,2023,Electric,49000,white,14,1200,Auto 2WD,Tata,2
554,1400000,2015,Diesel,80000,silver,14,1200,Auto 2WD,Tata,10
555,1690000,2017,Petrol,31000,red,17,999,Manual 2WD,Maruti Suzuki,8
556,5550000,2021,Electric,10000,grey,14,1200,Auto 2WD,Hyundai,4
557,990000,2001,Diesel,143000,brown,13,2200,Manual 4WD,Kia,24
558,1735000,2013,Petrol,44000,brown,14,1197,Manual 2WD,Hyundai,12
559,2450000,2013,Petrol,35000,white,14,1200,Auto 2WD,Volkswagen,12
560,1700000,2018,Petrol,41000,silver,12,1200,Manual 2WD,Other Brands,7
561,3800000,2008,Petrol,91000,white,14,2362,Auto 4WD,Toyota,17
562,2350000,2021,Petrol,14000,gold,16,999,Auto 2WD,Renault,4
563,2225000,2016,Petrol,33000,silver,15,1197,Manual 2WD,Hyundai,9
